region,category,subcategory,channel,revenue,units,profit
East,Beauty,Skincare,In-Store,55602.64,146,19937.69
North,Beauty,Makeup,In-Store,7246.8,122,3028.05
East,Sports,Outdoor,Online,8762.52,164,1312.5
South,Groceries,Dairy,In-Store,4767.4,121,618.3
West,Clothing,Men,In-Store,55765.1,170,7327.41
South,Groceries,Bakery,Mobile,10751.48,34,1586.47
North,Sports,Gym,Online,13960.44,156,2768.51
South,Sports,Team Sports,In-Store,41269.36,184,14495.67
West,Clothing,Kids,Online,5827.68,171,1729.59
East,Beauty,Haircare,Mobile,88521.68,188,24031.13
East,Furniture,Office,Mobile,1440.26,23,494.41
East,Electronics,Laptops,Online,19701.04,178,2248.54
West,Beauty,Haircare,In-Store,58494.96,153,22696.95
East,Beauty,Skincare,In-Store,44012.36,133,13488.65
South,Electronics,Phones,In-Store,40962.18,102,6782.8
East,Beauty,Skincare,Online,641.13,7,164.89
North,Sports,Team Sports,Mobile,23546.19,51,6531.09
North,Furniture,Bedroom,Online,73136.25,197,5211.21
South,Beauty,Haircare,Online,8884.81,59,2245.99
North,Furniture,Bedroom,Online,18550.2,43,1802.44
North,Groceries,Dairy,Mobile,9630.49,83,1331.69
East,Sports,Team Sports,Mobile,42242.13,171,13699.51
South,Electronics,Tablets,In-Store,6266.58,46,2193.49
West,Electronics,Tablets,In-Store,37362,78,7494.5
West,Groceries,Bakery,In-Store,28479,66,6836.43
South,Clothing,Women,Mobile,18101.16,63,3751.64
South,Groceries,Bakery,In-Store,23239.28,76,4745.58
North,Furniture,Office,In-Store,4808.86,14,937.77
East,Sports,Team Sports,In-Store,1991.36,16,375.86
South,Electronics,Tablets,In-Store,56048.1,190,9073.77
East,Groceries,Bakery,Mobile,2859.06,34,919.02
West,Electronics,Phones,Online,11348.28,174,2503.58
North,Clothing,Men,Mobile,5479.11,117,2327.53
East,Clothing,Women,Mobile,5246.34,11,2082.95
North,Sports,Outdoor,In-Store,54712.98,126,2853.38
South,Groceries,Dairy,In-Store,57122.55,135,12714.69
North,Clothing,Women,Online,21960.61,139,7310.82
North,Furniture,Office,In-Store,15376.8,129,2127.23
South,Clothing,Men,Online,35503.65,189,15594.48
East,Beauty,Haircare,Online,35846.35,97,3977.76
West,Electronics,Tablets,Online,4416.57,9,1024.08
North,Groceries,Dairy,Online,18721.95,39,5511.77
East,Clothing,Women,In-Store,13600.62,66,5239.33
West,Electronics,Accessories,Mobile,14090.66,71,4383.4
West,Sports,Outdoor,Mobile,8729.7,21,1096.96
West,Electronics,Laptops,Online,8053.5,39,2576.48
West,Sports,Team Sports,Mobile,9549.93,141,3872.82
East,Electronics,Accessories,Mobile,16535.12,56,1524.54
North,Clothing,Men,Mobile,13592.52,68,4846.72
North,Furniture,Bedroom,In-Store,35493.96,137,14514.76
West,Groceries,Dairy,Online,4604.04,21,1720.04
South,Sports,Team Sports,In-Store,26172.46,53,4691.43
North,Groceries,Bakery,Online,1307.21,37,542.27
West,Beauty,Haircare,Mobile,29181,150,13020.67
North,Clothing,Women,Mobile,24102.78,78,7770.92
North,Electronics,Phones,Mobile,18984.24,108,2634.83
East,Furniture,Living Room,Mobile,19373.64,52,4413.82
East,Beauty,Skincare,Online,12313.51,157,4751.47
North,Furniture,Office,Online,676.46,2,43.49
East,Groceries,Dairy,Mobile,17383.52,68,3116.08
South,Sports,Outdoor,Online,71619.3,155,10691.9
East,Electronics,Accessories,Online,18676.98,122,5922.41
South,Groceries,Dairy,Online,10456.56,36,4113.4
North,Electronics,Tablets,Mobile,27323.62,173,4423.9
West,Electronics,Tablets,Online,2983.42,142,534.88
North,Groceries,Bakery,In-Store,16523.91,87,3088.26
East,Sports,Team Sports,Online,45882.72,144,12062.29
East,Clothing,Women,Mobile,81353.75,185,23340.88
East,Clothing,Kids,In-Store,5145.79,23,1311.61
South,Beauty,Skincare,Mobile,16923.92,52,7536.62
West,Beauty,Haircare,In-Store,7510.71,97,458.87
West,Groceries,Bakery,Online,62430.67,131,17652.34
South,Electronics,Tablets,Mobile,36297.82,169,5660.21
North,Furniture,Living Room,Mobile,294.92,4,80.04
North,Groceries,Produce,Mobile,39837.3,114,2163.55
East,Electronics,Laptops,In-Store,24825.15,189,1814.48
North,Electronics,Phones,Online,20361,100,7756.12
East,Beauty,Haircare,Online,31683.24,93,14133.42
North,Groceries,Bakery,In-Store,72963.69,163,23130.04
North,Sports,Gym,Mobile,27961.34,149,3594.94
South,Clothing,Men,In-Store,2942.92,58,591.34
North,Beauty,Haircare,Mobile,7906.84,43,2533.18
West,Sports,Gym,In-Store,44351.37,147,7655.69
South,Beauty,Skincare,Mobile,33630.87,97,11689.81
South,Furniture,Office,Online,46568.14,173,14214.42
South,Clothing,Women,Mobile,39072.4,124,9439.78
South,Furniture,Living Room,Mobile,30877.44,68,12310.46
East,Electronics,Phones,In-Store,6131.84,26,1664.14
West,Groceries,Dairy,Online,11070.57,49,2175.25
North,Beauty,Haircare,Mobile,6771,74,2062.64
South,Beauty,Makeup,Online,21222.8,68,4125.49
North,Furniture,Living Room,Mobile,3083.1,86,301.47
North,Electronics,Tablets,Online,9097.8,60,737.33
North,Furniture,Office,Mobile,67414.86,153,16051.4
East,Groceries,Bakery,Online,35276.54,193,9420.28
South,Groceries,Bakery,Online,35534.59,119,6598.97
North,Beauty,Haircare,Online,30916.02,183,1909.54
West,Electronics,Accessories,Mobile,12413.6,59,2460.02
North,Electronics,Tablets,In-Store,5046.96,51,744.28
South,Sports,Outdoor,In-Store,26369.7,105,9759.73
South,Furniture,Living Room,Mobile,14608.13,31,2696.46
North,Beauty,Haircare,Online,35309.72,142,7613.19
North,Beauty,Haircare,Online,359.08,1,153.81
North,Sports,Outdoor,Mobile,24562.2,67,3248.06
West,Groceries,Produce,Mobile,81497.76,186,14776.52
East,Groceries,Produce,Online,1946.97,9,813.54
South,Groceries,Produce,Mobile,749.44,32,195.26
North,Clothing,Kids,Online,5102.24,16,1371.15
North,Groceries,Produce,Online,90449.32,181,36233.86
East,Beauty,Haircare,Mobile,22077.33,149,7649.8
West,Sports,Outdoor,Online,14774.76,164,1101.14
West,Furniture,Living Room,Mobile,50508.8,128,11725.84
North,Groceries,Produce,Online,18156.96,162,2430.61
South,Electronics,Laptops,Mobile,7723.65,155,2939
West,Beauty,Makeup,Mobile,48562.48,172,17861.58
South,Beauty,Haircare,Mobile,40181.64,164,8791.99
North,Beauty,Makeup,Mobile,58294.1,157,10571.99
South,Clothing,Kids,Online,43589.68,94,11477.38
South,Beauty,Skincare,Online,34897.9,115,14393.81
South,Sports,Gym,Mobile,37951.05,113,11653.17
North,Electronics,Laptops,Online,11764.68,73,1184.24
West,Furniture,Living Room,Mobile,2181.6,18,544.81
East,Clothing,Kids,Online,18677.33,49,5746.56
West,Clothing,Kids,Mobile,57752.64,132,5738.37
East,Furniture,Bedroom,Mobile,13245.46,29,3566.78
East,Sports,Team Sports,Mobile,35307.57,173,11111.23
North,Furniture,Bedroom,Mobile,1516.46,11,203.75
West,Clothing,Men,Online,13815.2,40,3811.1
East,Electronics,Laptops,In-Store,38755.47,129,16845.75
West,Electronics,Accessories,In-Store,10685.7,93,1215.08
South,Furniture,Office,In-Store,5286.4,35,1674.49
North,Sports,Team Sports,Online,9365.12,64,1523.88
East,Sports,Outdoor,Online,18821.04,136,7915.54
South,Sports,Team Sports,In-Store,1518.16,7,481.45
East,Clothing,Men,Online,3144.66,34,226.12
South,Electronics,Phones,In-Store,7702.5,150,595.1
South,Groceries,Bakery,Mobile,69386.22,162,29519.21
North,Groceries,Dairy,Mobile,7456.37,23,2526.49
North,Groceries,Dairy,Online,26189.06,71,7847.46
East,Electronics,Accessories,Mobile,18469.1,130,7592.72
East,Furniture,Living Room,In-Store,52107.84,108,12272.45
West,Clothing,Women,In-Store,774.72,144,190.02
East,Groceries,Bakery,Online,29120.92,76,12183.96
East,Clothing,Kids,In-Store,44999.4,148,16942.84
West,Furniture,Office,Online,11820.16,92,3489.92
North,Groceries,Dairy,Online,60349.12,178,8565.36
East,Groceries,Dairy,In-Store,40821.9,98,16668.69
North,Groceries,Bakery,Online,21682.18,89,9727.94
West,Clothing,Men,Online,66340.95,169,18186.03
North,Sports,Outdoor,Mobile,11023.65,51,2316.06
North,Beauty,Makeup,In-Store,56126.13,123,6601.68
North,Clothing,Men,Online,2411.92,7,821.9
East,Sports,Outdoor,Online,121.04,2,46.91
West,Groceries,Bakery,Online,7701.64,124,1124.59
South,Groceries,Produce,Mobile,27788.13,101,6710.41
North,Beauty,Makeup,Mobile,8461.44,113,2117.08
North,Furniture,Office,Online,56768.06,179,4462.13
South,Beauty,Haircare,Online,1367.82,149,118.92
West,Beauty,Haircare,In-Store,35563.5,150,15602.98
East,Clothing,Men,Mobile,6479.47,29,1075
North,Furniture,Bedroom,In-Store,17702.61,103,3458.06
North,Groceries,Bakery,In-Store,13249.59,43,2198.9
South,Groceries,Produce,In-Store,14238.12,156,5839.5
South,Clothing,Men,Mobile,14602.08,87,4154.13
West,Furniture,Office,In-Store,19675.92,44,1168.72
South,Furniture,Living Room,In-Store,9366.63,141,1043.11
South,Sports,Outdoor,Online,5335.58,38,444.17
North,Groceries,Bakery,Mobile,6210.19,79,1493.27
East,Electronics,Phones,In-Store,1411.47,9,269.49
East,Electronics,Accessories,Online,30904.64,184,6461.32
North,Electronics,Accessories,Mobile,42826.18,146,11369.52
South,Electronics,Laptops,In-Store,49474.26,99,4177.35
South,Clothing,Women,Mobile,59459.27,151,20756.07
North,Beauty,Makeup,In-Store,51808.1,151,13125.34
East,Groceries,Dairy,Mobile,65044.5,150,26814.5
North,Furniture,Living Room,Mobile,5338.88,43,1783.26
North,Sports,Team Sports,Mobile,34309.56,69,8179.73
West,Clothing,Kids,Mobile,6453,30,852.96
South,Electronics,Accessories,Mobile,10765.17,39,3355.68
West,Groceries,Bakery,Mobile,7449.24,138,2640.94
North,Groceries,Bakery,Mobile,1477.4,5,469.76
South,Furniture,Office,Mobile,34821.62,79,3420.24
South,Sports,Gym,Mobile,1749.33,33,611.9
South,Groceries,Produce,Online,62130.9,195,12450.6
East,Furniture,Bedroom,In-Store,41725.12,101,2288.12
North,Groceries,Bakery,Online,5130.98,151,409.42
South,Groceries,Dairy,Mobile,43803.21,121,16816.88
East,Electronics,Laptops,In-Store,35648.91,99,4425.23
East,Furniture,Living Room,Online,455.22,1,69.78
East,Beauty,Skincare,Online,16377.63,51,6331.13
North,Sports,Outdoor,Online,5885.88,26,2308.37
South,Clothing,Women,Online,79633.31,197,23474.85
East,Beauty,Skincare,Mobile,8991.84,33,3505.82
North,Sports,Outdoor,Mobile,37679.04,189,8157.81
West,Sports,Team Sports,Online,5749.8,84,320.75
West,Clothing,Kids,Mobile,22406.8,104,8909.65
East,Clothing,Kids,In-Store,1720.86,138,706.85
West,Furniture,Office,Mobile,52444.08,156,7545.4
East,Electronics,Tablets,Online,280.02,3,81.53
South,Beauty,Skincare,Online,22314.06,159,7805.94
East,Furniture,Office,Mobile,1773.74,131,796.46
East,Sports,Outdoor,Online,4494,30,742.86
South,Groceries,Dairy,Mobile,8768.64,96,3095.03
West,Sports,Gym,In-Store,49864.4,136,16667.45
West,Sports,Team Sports,Online,56515.03,143,6138.07
East,Sports,Gym,Mobile,1449.69,11,472.62
West,Clothing,Kids,In-Store,7568.19,123,801.61
North,Furniture,Office,In-Store,46935.67,193,20340.72
North,Electronics,Accessories,Mobile,4981.5,82,1195.82
North,Electronics,Accessories,Mobile,57555.6,120,10489.19
North,Sports,Team Sports,In-Store,17942.04,54,4526.34
East,Electronics,Tablets,Mobile,24876.78,174,6207.49
West,Beauty,Haircare,Mobile,11562.32,44,1654.47
South,Sports,Gym,Online,19750.77,51,5544.79
North,Sports,Team Sports,Online,6732,66,778.59
North,Furniture,Bedroom,Mobile,5936.96,32,1027.5
South,Clothing,Men,Mobile,66604.09,161,24537.06
West,Furniture,Office,In-Store,9541.35,45,3460.1
East,Clothing,Kids,Online,3965.87,19,344.72
West,Clothing,Women,Online,57199.56,132,21877.99
South,Groceries,Produce,Online,64940.16,192,19414.79
East,Beauty,Skincare,Mobile,11077.44,176,1427.13
East,Clothing,Kids,Mobile,28838.81,77,2768.95
South,Furniture,Bedroom,In-Store,1610.01,67,403.69
North,Sports,Outdoor,In-Store,18223.92,44,3393.47
North,Furniture,Living Room,In-Store,1720.92,12,631.9
North,Beauty,Haircare,Online,78131.71,179,21064.71
North,Electronics,Laptops,In-Store,32023.86,121,7287.65
East,Sports,Team Sports,Mobile,35907.3,130,2106.42
West,Furniture,Bedroom,Mobile,38655.96,102,5979.16
South,Sports,Outdoor,In-Store,25704.3,94,1650.15
North,Sports,Team Sports,Online,63875.14,161,13621.71
North,Electronics,Phones,Mobile,92347.6,190,14761.86
North,Clothing,Kids,Mobile,2653.54,38,706.25
North,Electronics,Accessories,In-Store,94807.8,194,16735.95
South,Beauty,Skincare,Mobile,18672.68,149,6423.21
West,Furniture,Office,In-Store,11696.5,50,920.69
South,Groceries,Produce,Online,27676.92,114,10947.78
West,Furniture,Office,In-Store,6025.31,67,1856.79
West,Beauty,Haircare,Mobile,31583.2,97,4482.18
North,Furniture,Office,Mobile,43447.3,95,18665.56
South,Beauty,Haircare,Mobile,13024.2,70,5460.82
West,Furniture,Office,In-Store,10602,31,2107.14
North,Beauty,Haircare,Mobile,66677.9,155,29368.99
West,Groceries,Bakery,In-Store,1812,5,753.6
West,Groceries,Bakery,Mobile,41846.68,106,3813.29
South,Electronics,Laptops,In-Store,7786.35,33,2799
North,Beauty,Haircare,Online,38821.72,116,13833.58
South,Beauty,Skincare,Online,72534.64,184,10170.99
South,Clothing,Men,Mobile,6165.38,26,1873.64
North,Furniture,Bedroom,Mobile,6677.36,23,1620.5
North,Sports,Team Sports,Mobile,11022.2,28,2751.07
West,Electronics,Laptops,Online,20316.8,112,2136.79
West,Furniture,Office,In-Store,594.27,27,53.49
South,Groceries,Produce,Mobile,11574.6,60,4523.55
East,Groceries,Produce,Mobile,4848.48,111,1985.28
West,Groceries,Dairy,In-Store,9002.37,41,2406.68
East,Sports,Outdoor,In-Store,2905.56,28,882.65
East,Beauty,Makeup,In-Store,11987.25,165,5317.54
South,Sports,Team Sports,Mobile,25493.3,158,2731.39
North,Sports,Team Sports,Mobile,16221.65,41,4435.43
West,Sports,Team Sports,Mobile,17958.78,63,2877.91
South,Clothing,Women,Mobile,14709.42,33,1167.11
West,Furniture,Office,Mobile,23168.48,89,10004.55
West,Clothing,Men,Mobile,3304.8,10,259.16
North,Clothing,Women,Mobile,49237.5,125,21322.5
East,Groceries,Dairy,Online,63423.02,151,8222.5
East,Electronics,Tablets,Online,35689.97,149,11520.4
North,Electronics,Laptops,Mobile,30160.2,86,12802.43
North,Beauty,Haircare,Mobile,69297.42,142,10093.39
East,Beauty,Haircare,In-Store,34541.98,197,11430.81
East,Sports,Gym,Mobile,2596.32,18,277.42
East,Electronics,Accessories,In-Store,5782.38,17,1690.58
South,Electronics,Phones,Mobile,45593.76,94,14301.69
South,Furniture,Bedroom,In-Store,20264.92,52,3518.44
North,Groceries,Dairy,In-Store,35610.4,140,2115.04
South,Furniture,Living Room,Online,35094.4,160,8677.29
South,Groceries,Dairy,In-Store,45502.4,160,9801.91
South,Electronics,Tablets,Mobile,35605.71,189,8160.24
North,Furniture,Office,Mobile,48985.41,111,3038.75
West,Beauty,Skincare,Online,12007.8,140,4023.62
South,Groceries,Bakery,Mobile,21005.25,175,5674.35
South,Groceries,Bakery,Mobile,48670.85,139,20689.27
South,Beauty,Haircare,Mobile,45027.84,156,2536.78
West,Electronics,Accessories,Mobile,15340.8,141,5269.25
South,Beauty,Skincare,Mobile,68044.44,174,26724.1
West,Beauty,Skincare,Online,5104.32,48,1589.41
East,Groceries,Dairy,In-Store,32449.68,72,12083.2
East,Electronics,Phones,Mobile,1126.2,30,360.54
East,Electronics,Accessories,Mobile,56661.24,159,13160.43
North,Sports,Gym,In-Store,15050.81,47,1707.12
South,Beauty,Makeup,Mobile,19304.25,175,3628.27
West,Electronics,Phones,In-Store,1554.96,93,321.58
West,Sports,Outdoor,Mobile,23315.76,104,6993.03
North,Furniture,Bedroom,In-Store,23744.76,124,9853.56
North,Furniture,Living Room,Mobile,19741.68,72,8568.84
West,Groceries,Dairy,In-Store,2284.92,99,707.98
South,Groceries,Bakery,In-Store,3222.48,8,1404.8
North,Groceries,Produce,Online,17484.74,182,6889.52
East,Groceries,Dairy,Online,19723.5,54,4476.05
South,Furniture,Office,Online,3199.2,10,263.86
West,Beauty,Makeup,In-Store,75680.77,187,24690.27
South,Clothing,Women,Mobile,19344,160,3413.01
West,Clothing,Men,In-Store,3795,12,601.19
North,Sports,Team Sports,In-Store,9594.48,28,1073.41
East,Electronics,Phones,In-Store,56108,130,22839.88
South,Electronics,Laptops,Online,39465.48,103,12727.01
North,Sports,Gym,In-Store,49593.25,119,3961.83
North,Sports,Gym,In-Store,52092.7,115,5124.53
North,Beauty,Haircare,Mobile,18306.4,70,1194.99
North,Groceries,Produce,In-Store,79441.83,169,35045.11
East,Groceries,Bakery,Mobile,18668.88,72,3458.38
North,Furniture,Office,In-Store,45259.84,134,18519.63
South,Furniture,Living Room,Online,4791.26,82,1518.28
South,Clothing,Kids,Mobile,2613.83,19,1170.17
West,Sports,Team Sports,Online,2665.74,66,806.26
West,Clothing,Kids,Mobile,943.44,6,161.68
West,Groceries,Bakery,Mobile,30772.17,117,1629.87
East,Furniture,Bedroom,Mobile,49202.76,102,5321.19
West,Furniture,Bedroom,Online,2685.1,22,1201.59
West,Groceries,Bakery,In-Store,49902.25,137,6880.76
West,Clothing,Women,Mobile,17251.12,191,6147.13
West,Beauty,Makeup,Mobile,28089.26,97,9228.8
South,Beauty,Skincare,Online,62805.8,172,14925.28
South,Clothing,Women,Online,38790.71,107,5581.89
East,Sports,Gym,In-Store,18761.74,38,1328.89
West,Groceries,Dairy,Online,1429.96,4,419.27
South,Electronics,Phones,Mobile,37357.48,188,16342.94
South,Sports,Gym,Online,60119.94,123,22563.92
North,Clothing,Women,Mobile,39165.7,98,16799.59
West,Groceries,Produce,In-Store,15308.34,69,1931.69
West,Electronics,Accessories,Mobile,39343.65,155,4583.86
North,Electronics,Accessories,In-Store,16059.64,86,5405.99
West,Sports,Team Sports,In-Store,157.1,2,61.6
North,Sports,Gym,Online,56971.35,135,17507.28
East,Sports,Outdoor,In-Store,45300.9,123,14873.44
East,Clothing,Men,Online,42172.8,191,12930.69
South,Beauty,Haircare,Mobile,9614,50,542.66
North,Furniture,Living Room,Mobile,84723.66,171,31630.51
South,Clothing,Men,Mobile,5638.56,136,2429.54
East,Clothing,Women,Online,25995.45,195,4732.07
North,Electronics,Laptops,Mobile,29278.06,163,9581.24
West,Beauty,Makeup,Online,25710.58,67,9968.19
West,Furniture,Living Room,Mobile,12785.08,49,2174.73
West,Clothing,Men,Online,65281.58,182,29365.67
East,Sports,Gym,In-Store,4628.7,30,1151.23
South,Beauty,Haircare,In-Store,37705.26,106,10072.79
South,Groceries,Produce,Online,25917.15,105,11287.09
East,Groceries,Dairy,In-Store,4605,50,979.3
North,Clothing,Kids,Online,11188.76,44,3620.09
North,Furniture,Bedroom,In-Store,6947.46,78,2908.01
East,Furniture,Office,Mobile,41404.23,189,3904.02
West,Clothing,Women,In-Store,9210.69,87,2814.74
North,Electronics,Phones,Mobile,26001.36,66,9564.2
East,Electronics,Tablets,In-Store,45991.44,99,8279.48
West,Clothing,Kids,In-Store,9914.45,35,4382.32
North,Groceries,Dairy,In-Store,80118.25,167,19372.57
North,Beauty,Haircare,Online,5290.22,13,2043.73
West,Beauty,Haircare,Mobile,4687.3,190,1839.02
South,Beauty,Haircare,Online,35162.4,138,11548.12
South,Groceries,Bakery,Online,14135.55,55,2851.31
West,Electronics,Tablets,Mobile,49785.8,158,9452.86
West,Groceries,Bakery,Online,9565.12,71,4200.73
West,Beauty,Skincare,In-Store,42459.33,141,3476.38
West,Beauty,Makeup,Online,25484.74,137,6291.71
West,Sports,Team Sports,Mobile,28661.07,141,8900.73
North,Beauty,Haircare,Online,30620.04,132,1680.67
West,Clothing,Kids,Online,81501.61,191,33725.86
East,Groceries,Produce,In-Store,3676.05,27,705.03
East,Furniture,Bedroom,In-Store,52078.5,163,13773.97
East,Groceries,Bakery,In-Store,27297.5,61,10138.14
West,Groceries,Produce,In-Store,39425.4,105,2449.87
North,Clothing,Men,Mobile,19234.38,151,4237.07
West,Electronics,Laptops,Mobile,37406.6,98,6250.5
East,Electronics,Laptops,Online,26131.29,89,5655.85
North,Electronics,Accessories,In-Store,23604.15,185,2972.15
North,Sports,Gym,In-Store,2713.6,40,886.05
West,Electronics,Laptops,Online,1255.57,103,512.92
South,Groceries,Dairy,Mobile,70525.68,174,20527.67
North,Electronics,Tablets,Mobile,7586.41,169,423.11
West,Sports,Outdoor,In-Store,19798.38,126,7649.66
East,Beauty,Makeup,Online,32547.9,66,8367.26
South,Sports,Team Sports,Online,7402.14,41,2242.04
North,Electronics,Phones,Online,69047.73,183,18436.57
North,Beauty,Skincare,Mobile,21794.85,119,1645.68
North,Sports,Team Sports,Online,17631.68,176,2937.81
East,Furniture,Office,In-Store,4575.01,121,1738.91
South,Electronics,Accessories,In-Store,5015.15,23,919.33
North,Beauty,Haircare,Online,44038.28,143,13415.93
West,Furniture,Bedroom,Online,1600.56,9,169.45
West,Electronics,Phones,In-Store,60872.44,178,5391.33
South,Electronics,Accessories,In-Store,9364.95,35,4145.52
East,Groceries,Bakery,Online,4594.4,40,1241.21
North,Groceries,Produce,In-Store,17708.9,110,6966.65
South,Sports,Team Sports,In-Store,42609.44,158,9649.29
South,Beauty,Haircare,In-Store,67433.8,196,16549.36
East,Beauty,Makeup,Mobile,52266.06,198,8469.65
East,Electronics,Accessories,In-Store,35742,175,6976.97
South,Sports,Outdoor,In-Store,67968.3,142,27458.53
North,Sports,Gym,Mobile,3334.31,133,855.46
East,Groceries,Dairy,Mobile,10657.54,41,4037.73
North,Groceries,Dairy,Online,6085.26,177,559.66
East,Furniture,Living Room,In-Store,33070.15,145,11409.34
East,Furniture,Bedroom,Online,8061.74,17,1562.41
East,Furniture,Bedroom,Online,6352.14,138,2051.84
East,Furniture,Bedroom,In-Store,20341.86,111,6099.72
East,Electronics,Phones,Mobile,18260,110,2023.2
South,Electronics,Accessories,Online,55964.48,143,13870.89
South,Sports,Team Sports,In-Store,211.2,24,61.2
East,Electronics,Laptops,Online,5525.68,136,1418.56
West,Groceries,Produce,Mobile,6388,100,1025.99
West,Beauty,Makeup,Mobile,48140.4,105,7897.39
East,Furniture,Living Room,In-Store,786.6,92,291.68
North,Sports,Gym,Mobile,262.78,2,57.28
East,Clothing,Women,In-Store,39733.44,96,9705.4
West,Furniture,Office,In-Store,503.55,27,192.15
North,Furniture,Office,Mobile,1621.65,15,311.44
North,Electronics,Phones,Online,57192.48,162,15224.91
East,Clothing,Men,Online,5935.37,49,2428.13
North,Furniture,Living Room,In-Store,7497.08,46,3370.05
East,Beauty,Makeup,Mobile,17536.11,123,4514.88
East,Clothing,Men,Mobile,35907.8,151,6742.11
North,Electronics,Phones,Online,64728.63,171,8373.98
South,Sports,Team Sports,In-Store,20604.12,103,4443.94
West,Electronics,Laptops,In-Store,9056.19,39,3437.89
North,Clothing,Men,Online,29778.56,119,7464.44
North,Furniture,Office,Mobile,33842.4,177,10143.11
South,Sports,Team Sports,Mobile,1123.36,68,75.62
West,Furniture,Office,Online,2717.55,135,1087.82
North,Groceries,Produce,In-Store,67553.64,154,13307.41
East,Clothing,Women,Mobile,467.48,31,165.97
South,Sports,Outdoor,Online,21447.66,62,1237.56
North,Groceries,Dairy,Online,40193.1,111,6612.76
South,Electronics,Accessories,Mobile,1998.06,6,465.01
East,Clothing,Men,Online,33289.06,119,6802.38
West,Electronics,Laptops,Mobile,20606.6,140,2072.5
North,Sports,Outdoor,Mobile,3620.5,50,736.49
East,Groceries,Bakery,Online,19544,80,3389.09
East,Beauty,Makeup,Online,9054.45,45,1559.15
South,Electronics,Tablets,In-Store,656.64,64,110.15
East,Clothing,Women,Mobile,77692.16,184,19590.4
East,Groceries,Dairy,Online,36828.48,169,7298.36
East,Groceries,Dairy,Mobile,98406,198,42412.07
East,Electronics,Tablets,Online,14566.68,36,6051.3
North,Beauty,Makeup,Online,863.6,170,247.08
East,Beauty,Skincare,Online,1800.44,92,510.94
East,Furniture,Office,Online,9492.56,56,1195.38
North,Clothing,Men,Online,9075.82,26,2093.89
West,Sports,Team Sports,Online,25121.52,82,8838.47
East,Sports,Outdoor,In-Store,70645.93,179,15295.87
East,Beauty,Skincare,In-Store,27802.32,134,1717.43
West,Beauty,Skincare,Online,8005.16,116,2135.31
North,Clothing,Kids,Mobile,3582.36,9,421.19
East,Groceries,Bakery,In-Store,26370.27,111,4477.55
South,Furniture,Living Room,Mobile,12378.41,43,3670.65
East,Beauty,Haircare,Online,1068.46,82,293.04
East,Furniture,Bedroom,Mobile,7717.06,134,998.88
East,Sports,Gym,In-Store,46146.87,99,5068.86
East,Beauty,Skincare,Mobile,2265.25,13,249.4
South,Electronics,Tablets,Online,11888.49,57,4280.64
South,Sports,Gym,In-Store,34745.22,141,2814.24
North,Sports,Gym,In-Store,8708.01,109,3305.92
West,Electronics,Phones,In-Store,11295.05,65,4962.46
North,Beauty,Haircare,In-Store,8377.75,23,2108.12
East,Sports,Outdoor,In-Store,49977.2,104,12801.54
West,Furniture,Office,In-Store,10654.56,72,2950
East,Sports,Team Sports,Mobile,10143.12,39,1317.93
South,Furniture,Bedroom,Mobile,9043.65,33,1997.99
East,Beauty,Skincare,Online,21625.24,182,3729.7
West,Beauty,Skincare,In-Store,6302.72,64,2139.2
West,Beauty,Makeup,In-Store,19872.48,48,5468.38
East,Beauty,Haircare,In-Store,2503.5,50,609.09
North,Furniture,Bedroom,Online,2796.85,35,621.23
South,Furniture,Bedroom,Mobile,15815.44,68,5868.18
South,Furniture,Living Room,In-Store,1741.8,15,736.67
East,Electronics,Tablets,Online,2287.8,20,539.78
East,Clothing,Women,In-Store,16607.43,81,991.86
South,Furniture,Living Room,Mobile,6568.32,22,765.82
South,Sports,Outdoor,Mobile,39618,93,17168.73
North,Furniture,Bedroom,Mobile,11825.76,142,4142.81
West,Groceries,Dairy,Mobile,6626.94,102,2022.96
East,Beauty,Skincare,Online,30979.11,173,4073.9
East,Beauty,Makeup,In-Store,74.35,1,13.12
South,Beauty,Haircare,Mobile,53575.76,116,14662.11
South,Beauty,Makeup,In-Store,57135.28,152,24018.17
North,Sports,Gym,In-Store,2972.07,9,155.09
South,Furniture,Living Room,Mobile,22499.4,154,4740.96
South,Beauty,Skincare,Online,24458,70,3984.49
South,Groceries,Produce,Mobile,14293.2,43,2052.59
West,Electronics,Phones,Online,70055.7,195,11105.57
West,Clothing,Women,In-Store,1622.28,12,457.71
North,Sports,Outdoor,In-Store,20208.02,107,1726.11
South,Furniture,Bedroom,Online,10310.08,29,1378.47
East,Sports,Team Sports,Online,55466.25,175,9781.02
South,Beauty,Makeup,In-Store,53162.78,167,21278.91
East,Groceries,Produce,Mobile,69958.82,146,12427.12
North,Groceries,Dairy,In-Store,9487.84,38,1609.16
South,Beauty,Skincare,Online,20725.65,45,6183.25
North,Beauty,Makeup,Online,59998.38,169,19801.84
North,Beauty,Skincare,In-Store,2091.36,24,352.64
North,Beauty,Haircare,Mobile,1020.5,10,393.39
North,Electronics,Laptops,Online,689.3,61,57.69
North,Electronics,Laptops,Online,12099.75,73,3208.29
North,Clothing,Kids,Online,64593.76,196,15185.86
South,Sports,Outdoor,Online,27399.96,63,8681.18
West,Sports,Outdoor,Online,10043.4,190,3225.28
East,Clothing,Women,Mobile,29578.38,78,3066.08
