school_type,grade_level,subject,gender,score,study_hours,pass_rate
Public,Grade 8,History,Male,95.62,6.02,0.951
Public,Grade 10,History,Male,77.41,5.29,0.719
Public,Grade 8,Music,Female,60.23,3.99,0.633
Charter,Grade 9,Math,Female,91.23,3.5,0.932
Private,Grade 6,Math,Male,87.38,3.18,0.941
Public,Grade 7,Art,Male,81.34,5.38,0.779
Public,Grade 7,Computer Science,Male,48.69,5.05,0.495
Public,Grade 10,Math,Male,53.34,2.7,0.514
Charter,Grade 11,Computer Science,Female,89.62,1.63,0.932
Charter,Grade 10,Math,Female,42.64,5.15,0.448
Public,Grade 10,Music,Male,81.83,1.97,0.906
Charter,Grade 10,PE,Female,85.44,6.47,0.82
Public,Grade 8,Computer Science,Male,55.68,7.78,0.562
Public,Grade 6,History,Male,74.22,4.01,0.758
Charter,Grade 6,Computer Science,Female,61.68,3.72,0.592
Charter,Grade 11,History,Male,58.84,6.89,0.614
Charter,Grade 10,Music,Female,53.85,4.32,0.616
Charter,Grade 10,Music,Female,67.26,7.6,0.693
Private,Grade 11,English,Female,91.65,7.12,0.944
Charter,Grade 10,PE,Male,52.96,7.31,0.471
Private,Grade 7,PE,Female,67.39,6.96,0.749
Public,Grade 10,Computer Science,Female,56.79,5.52,0.636
Charter,Grade 11,PE,Male,83.04,2.43,0.927
Public,Grade 6,Science,Male,74.59,7.79,0.775
Private,Grade 10,Music,Female,94.24,6.61,0.95
Charter,Grade 11,Math,Male,63.71,4.22,0.601
Private,Grade 6,Art,Female,68.88,6.93,0.684
Public,Grade 9,Math,Female,90.24,4.07,0.883
Public,Grade 11,Science,Male,49.25,6.96,0.571
Private,Grade 6,Music,Male,57.41,4.2,0.596
Private,Grade 10,English,Female,77.85,4.85,0.786
Charter,Grade 10,English,Male,48.74,3.73,0.436
Charter,Grade 6,Science,Female,65.4,7.28,0.566
Public,Grade 7,Art,Female,76.8,1.35,0.748
Private,Grade 6,Computer Science,Female,43.77,4.55,0.537
Public,Grade 9,History,Female,97.36,6.48,1
Charter,Grade 10,Art,Male,71.47,3.97,0.783
Charter,Grade 9,Computer Science,Female,79.06,3.01,0.843
Private,Grade 8,Art,Male,93.1,4.6,0.995
Private,Grade 9,Math,Male,50.77,2.11,0.446
Charter,Grade 7,Science,Female,83.61,1.35,0.814
Public,Grade 9,Music,Male,41.25,7.91,0.401
Public,Grade 10,Music,Male,75.47,7.63,0.814
Charter,Grade 10,Music,Female,40.53,2.63,0.498
Charter,Grade 11,PE,Male,71.44,0.5,0.733
Private,Grade 6,Science,Female,41.22,5.86,0.431
Private,Grade 10,Science,Female,47.02,2.71,0.413
Charter,Grade 7,History,Female,46.25,7.18,0.553
Public,Grade 6,Math,Female,87.62,0.64,0.932
Public,Grade 7,History,Female,97.06,1.97,1
Public,Grade 8,English,Male,98.72,7.43,0.991
Public,Grade 9,Science,Female,61.77,5.03,0.568
Public,Grade 9,Math,Female,70.89,1.21,0.648
Public,Grade 9,Math,Male,95.86,3.15,1
Private,Grade 11,Computer Science,Female,96.43,6.94,0.99
Public,Grade 7,English,Male,46.36,7.55,0.479
Public,Grade 9,Science,Female,43.2,4.24,0.414
Public,Grade 8,Computer Science,Male,80.69,7.3,0.752
Charter,Grade 8,Art,Male,81.43,0.99,0.912
Public,Grade 10,Math,Male,95.03,2.51,0.861
Public,Grade 10,Math,Female,57.98,6.61,0.569
Charter,Grade 11,Math,Female,82.54,0.86,0.777
Public,Grade 6,PE,Male,40.97,1.71,0.385
Private,Grade 8,Math,Male,94.84,7.59,0.928
Public,Grade 7,Art,Male,96.91,6.58,0.905
Private,Grade 6,Computer Science,Male,83,3.22,0.795
Public,Grade 7,English,Male,77.65,1.27,0.849
Public,Grade 6,Music,Male,49.8,2.6,0.404
Charter,Grade 6,English,Male,43.86,6.68,0.464
Public,Grade 11,Art,Male,41.97,0.74,0.516
Charter,Grade 8,Art,Male,43.32,0.94,0.376
Public,Grade 10,PE,Male,47.64,2.07,0.428
Charter,Grade 6,Math,Female,84.99,5.65,0.901
Public,Grade 7,Music,Male,71.65,3.49,0.769
Public,Grade 10,History,Female,55.8,5.91,0.507
Charter,Grade 6,Computer Science,Male,83.66,4.55,0.801
Public,Grade 6,PE,Female,48.24,4.79,0.467
Private,Grade 8,Math,Female,55.27,5.41,0.509
Charter,Grade 7,Science,Female,41.82,6.93,0.421
Private,Grade 7,PE,Male,74.06,0.88,0.645
Charter,Grade 7,Computer Science,Male,54.89,5.75,0.496
Charter,Grade 7,Computer Science,Male,87.2,5.97,0.874
Public,Grade 9,Science,Male,66.46,7.49,0.606
Charter,Grade 11,PE,Male,45.57,4.68,0.422
Charter,Grade 10,Science,Male,97.58,7.48,0.907
Charter,Grade 7,English,Female,60.06,1.83,0.566
Charter,Grade 11,Art,Male,92.58,7.45,0.871
Public,Grade 9,Computer Science,Female,81.78,3.12,0.788
Public,Grade 9,History,Female,74.76,1.57,0.843
Private,Grade 6,English,Female,48.71,6.47,0.473
Private,Grade 8,Science,Female,94.73,7,0.995
Public,Grade 10,Music,Male,91.06,5.98,1
Charter,Grade 9,History,Female,46.53,0.53,0.381
Charter,Grade 7,Music,Male,85.78,4.42,0.915
Public,Grade 9,PE,Male,49.38,1.15,0.558
Private,Grade 10,English,Female,57.5,3.76,0.504
Public,Grade 9,Math,Male,96.04,4.71,1
Public,Grade 6,English,Female,62.7,0.79,0.555
Private,Grade 7,Art,Male,51.62,7.91,0.425
Charter,Grade 8,Math,Female,84.58,7.31,0.838
Public,Grade 11,Music,Female,53.75,1.87,0.579
Public,Grade 6,Art,Male,79.74,5.82,0.857
Public,Grade 7,PE,Female,94.08,4.42,0.981
Public,Grade 11,Computer Science,Male,55.21,1.13,0.583
Charter,Grade 7,Math,Female,50.35,1.25,0.502
Public,Grade 10,Music,Female,92.2,4.13,0.977
Charter,Grade 7,PE,Female,51.42,5.39,0.504
Charter,Grade 7,Music,Male,53.95,2.3,0.58
Charter,Grade 7,History,Female,73.72,3.27,0.668
Public,Grade 11,Computer Science,Female,81.23,3.17,0.805
Private,Grade 6,Science,Female,47.18,2.96,0.387
Charter,Grade 9,PE,Male,69.14,5.92,0.731
Charter,Grade 10,Math,Male,96.43,0.64,0.914
Private,Grade 10,Science,Female,95.8,4.39,0.991
Charter,Grade 6,Math,Male,74.92,7.26,0.778
Charter,Grade 10,Science,Female,88.87,2.89,0.854
Private,Grade 8,English,Female,89.22,5.29,0.9
Public,Grade 8,History,Male,44.13,0.9,0.42
Private,Grade 11,English,Male,84.5,0.77,0.907
Charter,Grade 7,History,Male,45.99,5.97,0.383
Private,Grade 6,Computer Science,Male,61.81,1.6,0.616
Public,Grade 8,Art,Male,52.14,0.77,0.62
Private,Grade 6,Computer Science,Female,93.45,5.85,0.898
Public,Grade 11,History,Female,65.31,3.51,0.596
Private,Grade 11,Music,Male,97.66,0.74,0.993
Charter,Grade 10,Computer Science,Male,82.28,4.8,0.875
Public,Grade 8,Science,Female,73.56,3.37,0.778
Public,Grade 7,English,Male,72.02,1.68,0.63
Charter,Grade 8,Computer Science,Male,81.58,3.51,0.778
Public,Grade 8,English,Male,79.53,3.47,0.726
Charter,Grade 8,PE,Female,71.25,4.89,0.752
Charter,Grade 8,English,Male,83.75,7.37,0.892
Private,Grade 7,Science,Female,48.61,6.33,0.497
Charter,Grade 7,History,Female,52.56,3.56,0.621
Public,Grade 9,English,Male,66.35,2.37,0.564
Private,Grade 9,English,Male,81.86,0.51,0.837
Charter,Grade 9,Computer Science,Female,76.04,3.2,0.855
Charter,Grade 8,Music,Male,87.63,7.77,0.928
Public,Grade 10,Music,Male,57.67,6.88,0.506
Charter,Grade 9,Math,Female,79.44,6.84,0.748
Private,Grade 9,Music,Female,84.51,6.82,0.889
Public,Grade 6,Music,Female,70.31,1.62,0.642
Private,Grade 7,English,Female,86.33,2.49,0.905
Charter,Grade 6,Science,Male,89.42,6.28,0.889
Public,Grade 7,Art,Male,45.66,5.01,0.557
Private,Grade 10,Computer Science,Male,68.17,0.67,0.756
Charter,Grade 6,Music,Male,99.52,2.07,1
Charter,Grade 11,PE,Male,88.51,4.42,0.819
Charter,Grade 9,Art,Male,99.5,6.18,1
Charter,Grade 6,Art,Male,41.15,3.69,0.448
Charter,Grade 9,Science,Female,81.71,4.27,0.78
Public,Grade 9,Music,Female,48.26,1.09,0.486
Public,Grade 8,Music,Male,78.84,2.83,0.739
Public,Grade 6,Science,Male,51.65,2.29,0.425
Public,Grade 7,Science,Male,46.89,3.12,0.437
Private,Grade 11,History,Male,50.23,7.04,0.429
Public,Grade 8,Music,Female,67.56,1.22,0.776
Charter,Grade 10,Computer Science,Male,55.36,1.09,0.454
Public,Grade 7,Math,Female,55.37,5.92,0.524
Charter,Grade 7,Computer Science,Female,87.83,2.93,0.805
Private,Grade 6,History,Female,40.49,6.35,0.324
Private,Grade 10,Science,Female,61.49,5.26,0.518
Private,Grade 7,Computer Science,Female,50.97,2.13,0.511
Charter,Grade 8,Science,Male,67.24,5,0.735
Charter,Grade 11,History,Female,98.15,6.33,0.884
Public,Grade 9,Computer Science,Female,60.94,2.56,0.588
Charter,Grade 10,Computer Science,Male,51.64,4.01,0.453
Public,Grade 6,History,Female,70.08,5.44,0.716
Public,Grade 8,Art,Female,76.14,2.13,0.729
Private,Grade 8,Science,Female,87.34,4.1,0.967
Private,Grade 10,History,Male,42.72,7.62,0.431
Public,Grade 6,Computer Science,Female,69.6,7.05,0.727
Private,Grade 8,History,Female,55.95,5.59,0.513
Charter,Grade 11,Art,Male,70.95,5.53,0.736
Private,Grade 10,Music,Female,97.44,1.02,0.901
Private,Grade 8,History,Female,94.03,5.82,0.856
Public,Grade 9,History,Female,56.09,1.53,0.471
Charter,Grade 9,English,Female,67.66,1.17,0.711
Public,Grade 10,Computer Science,Male,90.76,7.41,1
Public,Grade 10,Science,Female,84.4,1.16,0.824
Private,Grade 9,PE,Male,52.95,5.96,0.558
Private,Grade 8,History,Female,75.02,6.87,0.702
Private,Grade 10,Computer Science,Male,78.37,7.52,0.834
Charter,Grade 8,Art,Male,96.83,3.33,0.996
Public,Grade 6,Science,Female,52.63,7.46,0.596
Charter,Grade 6,PE,Female,83.58,7.99,0.874
Public,Grade 6,History,Male,91.84,7.22,0.956
Private,Grade 8,PE,Male,90.32,7.04,0.891
Public,Grade 6,History,Female,62.9,4.06,0.695
Charter,Grade 11,History,Male,83.28,6.14,0.783
Charter,Grade 6,Science,Female,65.64,4.8,0.626
Private,Grade 7,English,Male,52.62,6.58,0.511
Charter,Grade 9,Math,Female,75.69,7.62,0.673
Private,Grade 9,Art,Female,45.77,4.31,0.532
Private,Grade 10,Science,Female,98.32,3.54,0.889
Public,Grade 7,History,Female,76.76,7.72,0.787
Charter,Grade 10,English,Male,50.82,1.83,0.587
Public,Grade 6,Science,Female,72.71,4.34,0.784
Charter,Grade 10,PE,Male,60.13,5.49,0.693
Private,Grade 10,Computer Science,Female,94.88,2.2,0.94
Public,Grade 9,Science,Male,47.62,4.41,0.525
Charter,Grade 6,Music,Female,59.73,5.28,0.652
Charter,Grade 6,PE,Male,70.89,1.6,0.795
Charter,Grade 11,English,Male,80.28,5.98,0.809
Public,Grade 11,PE,Female,62.56,5.92,0.528
Public,Grade 9,Music,Male,52.34,7.47,0.502
Public,Grade 9,History,Male,72.51,0.7,0.784
Charter,Grade 8,Art,Male,98.66,6.28,0.994
Public,Grade 8,PE,Female,45.33,4.98,0.544
Public,Grade 11,Science,Male,52.67,0.58,0.45
Private,Grade 11,Math,Female,81.88,7.74,0.791
Public,Grade 6,PE,Female,41.37,5.31,0.483
Charter,Grade 11,PE,Male,65.29,4.53,0.653
Charter,Grade 6,Art,Female,77.78,2.82,0.753
Private,Grade 6,PE,Male,51.54,5.91,0.467
Private,Grade 11,Science,Male,68.62,4.74,0.662
Private,Grade 8,Science,Male,63.38,7.81,0.633
Public,Grade 11,English,Male,83.89,7.02,0.802
Public,Grade 8,Art,Female,97.37,3.23,0.881
Public,Grade 11,English,Male,69.47,3.37,0.697
Private,Grade 11,PE,Male,53.42,7.23,0.606
Public,Grade 9,English,Female,80.05,0.57,0.869
Private,Grade 8,Music,Female,73.91,5.66,0.722
Public,Grade 10,Math,Male,74.71,7.3,0.651
Public,Grade 7,Computer Science,Male,86.77,2.95,0.823
Charter,Grade 8,Computer Science,Male,82.06,3.72,0.893
Charter,Grade 8,Math,Female,80.44,6.43,0.728
Private,Grade 6,Music,Male,94.82,3.52,1
Charter,Grade 10,History,Male,61.96,5.95,0.687
Public,Grade 11,Math,Male,88.15,6.06,0.912
Public,Grade 6,English,Male,83.14,6.19,0.772
Public,Grade 10,Music,Female,44.22,5.65,0.44
Public,Grade 9,History,Female,54.38,3.6,0.577
Charter,Grade 11,English,Male,99.23,5.45,0.904
Public,Grade 8,History,Female,81,5.37,0.776
Private,Grade 8,Math,Female,79.48,6.44,0.731
Public,Grade 11,Computer Science,Female,78.1,0.93,0.736
Private,Grade 7,History,Female,86.27,1.89,0.949
Charter,Grade 6,PE,Male,90.25,4.17,0.916
Public,Grade 10,History,Female,84.46,2.09,0.754
Public,Grade 6,PE,Female,53.26,4.81,0.619
Private,Grade 8,History,Male,95.8,1.95,0.937
Private,Grade 7,Art,Male,79.67,4.83,0.729
Charter,Grade 11,History,Male,91.93,1.41,1
Charter,Grade 6,Math,Male,72.45,6.18,0.694
Public,Grade 6,English,Female,48.69,3.36,0.556
Private,Grade 8,Science,Male,87.2,2.88,0.97
Private,Grade 7,Art,Female,56.6,5.68,0.507
Public,Grade 11,English,Male,48.81,5.38,0.512
Public,Grade 6,History,Male,57.2,7.59,0.576
Charter,Grade 9,English,Female,70.65,3.31,0.74
Public,Grade 7,Math,Male,70.14,3.57,0.756
Public,Grade 7,English,Female,64.06,3.12,0.732
Public,Grade 8,Math,Female,91.83,7,0.897
Public,Grade 11,Art,Male,88.28,2.81,0.859
Private,Grade 11,Art,Female,47.58,6.22,0.434
Private,Grade 11,English,Female,48.5,4.57,0.538
Charter,Grade 11,Music,Female,84.84,6.56,0.926
Charter,Grade 6,PE,Male,74.52,5.82,0.778
Public,Grade 9,Science,Female,86.24,1.2,0.855
Public,Grade 7,Art,Male,76.8,7.54,0.8
Private,Grade 11,Music,Male,43.85,6.9,0.385
Private,Grade 6,Music,Male,54.52,2.27,0.476
Private,Grade 10,Math,Male,78.81,0.66,0.767
Charter,Grade 8,English,Female,84.8,5.72,0.789
Public,Grade 7,History,Male,41.5,7.26,0.35
Private,Grade 6,Math,Male,67.33,7.24,0.697
Private,Grade 11,Music,Female,94.43,5.24,0.918
Private,Grade 9,Math,Male,68.12,2.63,0.688
Private,Grade 7,Computer Science,Female,47.04,2.31,0.567
Public,Grade 10,English,Male,82.69,5.37,0.896
Charter,Grade 7,History,Male,42.17,4.38,0.422
Public,Grade 10,PE,Male,64.57,3.57,0.714
Public,Grade 11,English,Female,82.41,6.05,0.892
Private,Grade 7,PE,Male,97.82,1.17,0.973
Private,Grade 10,Computer Science,Male,96.88,1.77,0.936
Public,Grade 8,Math,Female,70.37,2.89,0.7
Public,Grade 8,Computer Science,Male,89,6.99,0.917
Charter,Grade 7,PE,Female,87.71,4.53,0.835
Public,Grade 10,Music,Female,92.32,1.59,0.926
Public,Grade 10,History,Male,69.44,2.91,0.701
Public,Grade 11,Music,Female,82.76,2.81,0.866
Public,Grade 7,Art,Female,70.96,4.62,0.692
Public,Grade 6,PE,Female,54.46,3.01,0.565
Private,Grade 11,Art,Female,77.63,7.36,0.847
Private,Grade 6,Art,Male,46.06,5.85,0.521
Charter,Grade 6,English,Male,85.65,3.29,0.813
Public,Grade 10,English,Male,90.64,2.76,0.942
Public,Grade 9,Science,Female,85.53,2.76,0.933
Public,Grade 10,English,Female,44.35,7.97,0.488
Public,Grade 9,PE,Female,65.72,4.93,0.628
Charter,Grade 10,History,Male,41.64,6.2,0.43
Public,Grade 7,Computer Science,Male,45.16,6.81,0.474
Public,Grade 6,Math,Male,53.06,7.65,0.614
Charter,Grade 7,PE,Female,51.07,0.92,0.513
Private,Grade 10,History,Female,47.66,3.79,0.463
Public,Grade 9,English,Female,85.69,1.8,0.853
Private,Grade 8,English,Male,88.14,3.06,0.934
Private,Grade 10,Math,Male,50.72,3.93,0.454
Private,Grade 11,Art,Male,51.97,5.73,0.548
Charter,Grade 10,Computer Science,Male,50.51,3.57,0.487
Charter,Grade 10,History,Male,56.62,6.03,0.56
Public,Grade 11,Math,Male,40.35,0.56,0.427
Public,Grade 6,History,Female,41.52,6.26,0.468
Charter,Grade 11,Science,Male,48.38,6.11,0.394
Private,Grade 7,Art,Female,86.39,7.71,0.812
Charter,Grade 9,Computer Science,Female,84.5,1.44,0.856
Public,Grade 9,Science,Male,78.04,6.87,0.843
Public,Grade 7,Music,Female,73.1,0.61,0.823
Public,Grade 10,Art,Male,86.89,6.44,0.952
Charter,Grade 7,PE,Male,78.1,4.38,0.8
Charter,Grade 8,English,Female,69.74,0.97,0.765
Public,Grade 7,English,Female,67.81,5.72,0.719
Public,Grade 8,Computer Science,Female,45.46,2.15,0.411
Charter,Grade 10,Math,Male,61.04,1.97,0.518
Private,Grade 6,Science,Female,71.39,5.45,0.682
Charter,Grade 8,Computer Science,Female,43.17,4.86,0.411
Charter,Grade 10,Math,Female,52.12,6.95,0.538
Private,Grade 11,Math,Male,56.28,4.94,0.593
Public,Grade 11,Music,Female,93.71,5.43,0.909
Public,Grade 9,English,Male,43.2,6.89,0.426
Public,Grade 11,Science,Female,81.16,1.11,0.87
Private,Grade 10,Science,Female,44.5,4.38,0.416
Public,Grade 10,Math,Female,40.06,5.36,0.317
Private,Grade 11,Art,Male,45.6,2.94,0.435
Public,Grade 7,Computer Science,Male,64.5,7.41,0.596
Charter,Grade 8,English,Female,59.88,2.98,0.579
Public,Grade 7,Music,Female,99.51,1.65,1
Public,Grade 11,Music,Female,73.96,1.51,0.803
Private,Grade 10,Computer Science,Male,75.56,2.73,0.748
Charter,Grade 11,History,Female,59.1,3.99,0.621
Public,Grade 11,Computer Science,Male,79.57,6.88,0.864
Charter,Grade 11,PE,Female,86.96,6.71,0.909
Private,Grade 11,Computer Science,Female,69.41,3.8,0.642
Public,Grade 9,PE,Female,71.31,2.42,0.686
Charter,Grade 8,Computer Science,Male,88.96,5.32,0.869
Private,Grade 6,History,Female,45.73,4.48,0.38
Public,Grade 6,Art,Female,49.14,7.46,0.577
Charter,Grade 11,History,Male,41.59,4.17,0.467
Charter,Grade 10,History,Male,84.26,6.31,0.937
Private,Grade 10,PE,Female,74.88,0.79,0.756
Charter,Grade 11,Science,Female,58.8,4.79,0.511
Public,Grade 10,Music,Female,44.24,5.97,0.415
Charter,Grade 11,Music,Male,70.97,6.98,0.79
Private,Grade 7,PE,Female,96.68,6.03,0.928
Charter,Grade 11,Art,Male,43.41,3.22,0.357
Public,Grade 8,Computer Science,Female,97.65,1.29,0.907
Private,Grade 9,Music,Male,93.39,7.32,0.882
Public,Grade 11,Art,Male,79.59,7.31,0.729
Charter,Grade 8,PE,Female,84.22,7.28,0.811
Charter,Grade 6,Art,Female,75.27,3.64,0.723
Charter,Grade 7,PE,Female,40.6,7.16,0.421
Private,Grade 7,Computer Science,Male,66.46,3.41,0.76
Charter,Grade 9,History,Male,99.9,0.6,0.977
Private,Grade 6,Music,Male,45.92,3.47,0.456
Charter,Grade 8,Math,Male,41.97,1.02,0.327
Charter,Grade 8,English,Male,96.73,1.52,0.875
Charter,Grade 11,English,Male,68.04,1.05,0.598
Charter,Grade 11,Music,Female,98.62,5.93,0.912
Charter,Grade 10,Music,Male,54.86,5.58,0.645
Private,Grade 11,Science,Male,43.86,7.38,0.496
Private,Grade 10,Science,Male,86.69,0.58,0.963
Charter,Grade 8,Art,Female,55.01,2.58,0.638
Public,Grade 7,Science,Female,62.81,1.23,0.627
Charter,Grade 10,Music,Male,76.83,6.2,0.678
Public,Grade 10,Math,Female,79.6,3.56,0.74
Charter,Grade 8,PE,Male,69.1,5.87,0.602
Public,Grade 6,Music,Male,72.56,2.34,0.77
Public,Grade 8,English,Male,92.36,1.62,0.828
Public,Grade 7,English,Male,89.42,2.07,0.865
Public,Grade 8,English,Female,71.08,1.34,0.768
Charter,Grade 9,Math,Male,93.18,7.84,0.909
Public,Grade 11,Computer Science,Female,92.32,7.89,0.944
Public,Grade 8,History,Female,80.94,4.54,0.735
Charter,Grade 10,English,Male,89.31,4.63,0.794
Private,Grade 11,Art,Female,84.2,6.23,0.912
Public,Grade 6,English,Female,69.5,1.46,0.717
Charter,Grade 9,Science,Female,90.33,1.87,0.88
Charter,Grade 9,Computer Science,Female,63.56,6.92,0.707
Public,Grade 10,PE,Female,97.32,1.95,0.922
Public,Grade 7,Math,Female,61.51,6.94,0.535
Public,Grade 8,Music,Female,73.06,4.82,0.686
Private,Grade 7,Math,Female,50.72,5.7,0.525
Public,Grade 7,Computer Science,Male,71.07,2.24,0.739
Public,Grade 7,Math,Female,58.52,2.99,0.629
Public,Grade 11,PE,Male,51.61,2.05,0.554
Public,Grade 8,Math,Male,95.15,5.24,0.87
Private,Grade 7,History,Female,51.37,5.6,0.559
Private,Grade 10,Math,Female,63.62,3.06,0.633
Public,Grade 11,Music,Male,67.42,1.19,0.599
Private,Grade 6,PE,Female,64.55,5.94,0.581
Charter,Grade 6,Art,Female,67.98,4.89,0.585
Charter,Grade 11,PE,Female,84.29,1.61,0.8
Private,Grade 7,Math,Female,50.44,6.66,0.589
Public,Grade 6,English,Male,42.57,1.26,0.488
Charter,Grade 7,Art,Female,78.86,6.22,0.789
Private,Grade 9,Science,Male,44.81,3.28,0.522
Public,Grade 11,Computer Science,Female,68.98,7.6,0.691
Private,Grade 11,Science,Male,77.83,4.54,0.749
Charter,Grade 6,PE,Female,63.01,4.11,0.577
Private,Grade 6,PE,Female,83.25,2.12,0.75
Private,Grade 7,History,Female,46.72,5.92,0.464
Public,Grade 8,PE,Female,80.85,6.66,0.792
Charter,Grade 11,Music,Male,59.54,4.71,0.566
Public,Grade 9,Science,Female,64.13,6.78,0.587
Private,Grade 6,English,Female,65.47,6.74,0.639
Public,Grade 9,History,Female,56.77,4.37,0.576
Public,Grade 11,Art,Female,88.83,6.46,0.839
Private,Grade 7,Science,Female,54.99,6.78,0.616
Private,Grade 10,Science,Female,89.24,2.44,0.809
Public,Grade 8,Science,Female,58.97,1.22,0.613
Public,Grade 10,PE,Female,54.88,1.04,0.473
Public,Grade 11,Music,Female,48.43,2.95,0.565
Charter,Grade 11,English,Female,51.63,6.35,0.573
Private,Grade 7,PE,Male,66.56,1.13,0.723
Public,Grade 11,English,Female,71.32,6.16,0.624
Public,Grade 11,PE,Male,54.54,3.72,0.479
Public,Grade 6,Math,Female,91.84,1.54,0.977
Charter,Grade 9,Math,Female,83.79,1.62,0.805
Charter,Grade 11,English,Male,40.75,0.55,0.447
Private,Grade 11,Art,Male,50.88,4.2,0.453
Private,Grade 8,Art,Female,42.11,1.74,0.336
Public,Grade 6,Music,Female,49.57,3.58,0.501
Private,Grade 10,Science,Female,63.73,4.23,0.653
Public,Grade 9,Art,Male,46.24,2.98,0.55
Private,Grade 10,Math,Female,89.72,5.49,0.817
Private,Grade 6,Science,Female,99.99,2.12,0.921
Charter,Grade 6,Art,Female,56.55,2.63,0.599
Public,Grade 6,History,Female,85.24,4.11,0.903
Charter,Grade 8,Music,Female,61.46,2.21,0.527
Private,Grade 10,History,Female,73.19,5.13,0.727
Public,Grade 10,Music,Male,77.04,7.79,0.761
Private,Grade 9,Computer Science,Female,47.66,1.95,0.507
Public,Grade 7,PE,Female,64.83,7.54,0.682
Private,Grade 10,PE,Male,62.02,7.9,0.606
Private,Grade 8,English,Male,71.1,1.17,0.71
Charter,Grade 8,Music,Male,51.92,0.68,0.558
Public,Grade 9,Computer Science,Female,42.8,5.93,0.431
Charter,Grade 10,Science,Female,66.75,3.16,0.732
Private,Grade 7,History,Male,47.6,6.48,0.389
Charter,Grade 9,Math,Female,66.55,2.23,0.697
Public,Grade 6,English,Male,66.25,5.38,0.714
Private,Grade 6,English,Female,82.37,1.41,0.912
Charter,Grade 11,PE,Female,57.78,4.2,0.541
Private,Grade 8,Science,Male,85.02,5.09,0.767
Charter,Grade 9,English,Female,40.74,3.78,0.345
Private,Grade 6,Computer Science,Female,43.31,3.07,0.335
Private,Grade 9,English,Male,72.09,4.35,0.786
Private,Grade 8,History,Female,72.22,3.57,0.808
Private,Grade 8,English,Female,49.29,5.83,0.468
Public,Grade 10,Computer Science,Male,86.23,6.75,0.851
Charter,Grade 11,PE,Female,80.17,1.61,0.724
Charter,Grade 7,History,Female,69.06,7.3,0.709
Charter,Grade 7,Music,Male,46.29,6.96,0.468
Charter,Grade 7,English,Female,61.97,1.11,0.682
Charter,Grade 6,Science,Female,58.02,4.05,0.491
Private,Grade 9,Math,Male,54.1,2.59,0.533
Private,Grade 11,Science,Female,91.37,3.21,0.954
Charter,Grade 7,Computer Science,Female,81.51,0.75,0.757
Private,Grade 11,Science,Female,52.1,2.53,0.525
Private,Grade 11,PE,Female,64.22,5.93,0.616
Private,Grade 10,Music,Female,95.91,5.1,1
Public,Grade 6,Computer Science,Female,70.14,3.42,0.697
Charter,Grade 6,PE,Female,81.98,0.61,0.8
Public,Grade 8,Math,Male,81.72,7.1,0.81
Charter,Grade 7,Art,Female,51.94,0.53,0.454
Charter,Grade 10,History,Female,94.23,5,0.932
Private,Grade 9,Music,Male,55.72,6.93,0.6
Charter,Grade 9,Math,Male,78.97,4.18,0.706
Charter,Grade 6,History,Female,78.34,2.71,0.694
Charter,Grade 7,History,Male,97.65,2.43,1
Charter,Grade 7,Science,Female,44.75,7.83,0.455
Private,Grade 7,Math,Male,62.1,4.61,0.663
Private,Grade 11,Math,Female,86.25,2.05,0.859
Charter,Grade 8,History,Male,94,7.11,1
Charter,Grade 10,English,Male,65.82,7.39,0.587
Private,Grade 10,Art,Male,54.95,1.76,0.625
Charter,Grade 7,PE,Female,89.61,7.82,0.924
Public,Grade 11,Music,Male,54.23,1.69,0.601
Public,Grade 11,Computer Science,Female,65.46,2.83,0.556
Charter,Grade 8,Computer Science,Female,92.34,3.21,1
Private,Grade 10,Music,Female,93.49,5.41,1
Public,Grade 8,Science,Female,83.87,7.13,0.826
Public,Grade 6,English,Male,48.55,0.63,0.435
Charter,Grade 7,History,Male,58.34,6.88,0.496
Private,Grade 9,Science,Male,67.73,7.74,0.763
Charter,Grade 6,Art,Female,41.32,7.57,0.337
Charter,Grade 6,Music,Female,61.66,2.33,0.688
Charter,Grade 7,History,Male,94.59,0.78,0.908
Public,Grade 10,Science,Male,53.01,7.05,0.465
Private,Grade 9,Music,Male,89.22,3.97,0.831
Public,Grade 10,Computer Science,Male,65.74,5.62,0.652
Public,Grade 7,Science,Male,78.53,1.15,0.767
Private,Grade 9,Art,Female,67.93,5.08,0.751
Private,Grade 6,History,Male,46.2,2.14,0.448
Private,Grade 9,History,Female,54.1,5.78,0.549
Public,Grade 6,Math,Male,50.76,1.7,0.5
Private,Grade 8,Computer Science,Male,90.11,6.82,0.801
Private,Grade 11,Math,Male,73.32,2.63,0.802
Private,Grade 6,History,Female,53.39,1.1,0.562
Public,Grade 11,Computer Science,Male,42.78,6.28,0.426
Private,Grade 10,Music,Male,67.62,2.06,0.663
Public,Grade 10,Music,Male,68.02,3.83,0.762
Charter,Grade 6,Math,Male,95.33,2.37,0.984
Private,Grade 10,Art,Female,61.29,3.8,0.633
Public,Grade 6,Music,Male,61.72,2.13,0.66
Public,Grade 9,Science,Male,73.22,5.5,0.794
Charter,Grade 8,Math,Female,72.85,3.91,0.818
Public,Grade 11,Computer Science,Female,70.44,7.77,0.631
Charter,Grade 10,Computer Science,Female,43.25,1.73,0.368
